city_x	station_id	request_date	answer_date	bike_available	name	address	banking	bonus	bike_stands	available_bike_stands	available_bikes	status	last_update	city_y	id	company	latitude	longitude	altitude	id_pollution	dist_bike_pollution
amiens	3	2022-06-02T18:00:19	2022-06-02T20:01	11	03 - MADELEINE (CB)	Rue de la Madeleine- Face à la rue de l'Ecole	True	False	15	9.0	6.0	OPEN	1650455571000.0	besancon	3	JCDeceaux	47.239978	6.019691	252.0	FR82514	0.2035214614825992
amiens	3	2022-06-02T18:00:19	2022-06-02T20:01	11	03 - RUE DU GENERAL LECLERC - CENTRE ANCIEN	En face du 1 ter rue de joly	True	False	24	10.0	12.0	OPEN	1650455206000.0	creteil	3	JCDeceaux	48.7907886168279	2.46489018474127	50.0	FR04008	1.7788884362591064
amiens	3	2022-06-02T18:00:19	2022-06-02T20:01	11	03 - PLACE DE LA CONCORDE	Place de la Concorde / Angle rue de l'Arsenal	False	False	12	9.0	3.0	OPEN	1650455209000.0	mulhouse	3	JCDeceaux	47.746818	7.335238	243.0	FR16069	1.2554148239575669
amiens	3	2022-06-02T18:00:19	2022-06-02T20:01	11	00003 - PLACE DE DOMBASLE (CB)	Rue Stanislas - Face au n°68	True	False	28	11.0	17.0	OPEN	1650455706000.0	nancy	3	JCDeceaux	48.6919579483934	6.17851021950761	210.0	FR30031	0.1269296888109778
amiens	3	2022-06-02T18:00:19	2022-06-02T20:01	11	003-STRASBOURG	4, rue des Carmélites - Place Tirant Lo Blanc	False	False	15	11.0	4.0	OPEN	1650455564000.0	nantes	3	JCDeceaux	47.2164797718207	-1.55154060534636	17.0	FR23140	1.3556354102416497
amiens	3	2022-06-02T18:00:19	2022-06-02T20:01	11	03- VIEUX MARCHE	PLACE DU VIEUX MARCHE	True	False	24	15.0	9.0	OPEN	1650455360000.0	rouen	3	JCDeceaux	49.44340061638054	1.089234065324399	19.0	FR25036	0.3633763650216109
amiens	3	2022-06-02T18:00:19	2022-06-02T20:01	11	00003 - POMME	62 RUE DE LA POMME	True	False	18	6.0	12.0	OPEN	1650455725000.0	toulouse	3	JCDeceaux	43.60333593826575	1.445569311598848	158.0	FR12008	0.5146408308520632
amiens	3	2022-06-02T18:00:19	2022-06-02T20:01	11	003 Esplanade				32					montpellier	3	En regie	43.609478	3.881293	36.0	FR08004	0.8425431630648745
amiens	26	2022-06-02T17:59:47	2022-06-02T20:01	10	26- MARCHE AUX CHEVAUX	Rue du Marché aux Chevaux	True	False	20	8.0	12.0	OPEN	1650455737000.0	amiens	26	JCDeceaux	49.897251288573926	2.289247027835661	28.0	FR18053	1.6666692555031415
amiens	26	2022-06-02T17:59:47	2022-06-02T20:01	10	26 - BERSOT	Place de la 7ème Brigade blindée	False	False	10	6.0	4.0	OPEN	1650455220000.0	besancon	26	JCDeceaux	47.238867	6.029564	244.0	FR82002	0.4403746079040307
amiens	26	2022-06-02T17:59:47	2022-06-02T20:01	10	26 - GOERICH	Rue Charles Goerich angle Rue Koechlim-Dolfus	False	False	13	6.0	7.0	OPEN	1650455230000.0	mulhouse	26	JCDeceaux	47.7432593602607	7.32393495955664	242.0	FR16069	0.5437605118031227
amiens	26	2022-06-02T17:59:47	2022-06-02T20:01	10	00026 - BAUDRICOURT HAUSSONVILLE	Rue des 3 Epis Baudricourt	False	False	15	8.0	7.0	OPEN	1650455196000.0	nancy	26	JCDeceaux	48.675248491826174	6.162844844269929	237.0	FR30016	1.1788637177914874
amiens	26	2022-06-02T17:59:47	2022-06-02T20:01	10	026-GUIST'HAU SUD	30, boulevard Gabriel Guist'Hau - Rue Harouys	False	False	15	7.0	8.0	OPEN	1650455322000.0	nantes	26	JCDeceaux	47.2168279599745	-1.56700452626517	36.0	FR23251	1.4328355155192003
amiens	26	2022-06-02T17:59:47	2022-06-02T20:01	10	26 - SAINT-EXUPERY	Centre sportif Antoine-de-Saint-Exupéry - Rue des Petites Eaux du Robec	True	False	20	12.0	8.0	OPEN	1650455558000.0	rouen	26	JCDeceaux	49.439524	1.116237	8.0	FR25053	1.3456371527332076
amiens	26	2022-06-02T17:59:47	2022-06-02T20:01	10	00026 - DALBADE - DE GORSSE	9 RUE HENRY DE GORSSE	True	False	22	6.0	16.0	OPEN	1650455675000.0	toulouse	26	JCDeceaux	43.59804753924319	1.443005133993703	155.0	FR12008	0.2322570303245147
amiens	26	2022-06-02T17:59:47	2022-06-02T20:01	10	026 Renouvier				8					montpellier	26	En regie	43.603553	3.867884	42.0	FR08004	0.7186010410188519
amiens	16	2022-06-02T17:57:22	2022-06-02T20:01	8	16- JOFFRE	Place du Maréchal Joffre	True	False	20	14.0	6.0	OPEN	1650455516000.0	amiens	16	JCDeceaux	49.88779293086959	2.30361108882717	43.0	FR18053	1.545397055923344
amiens	16	2022-06-02T17:57:22	2022-06-02T20:01	8	16 - BEAUREGARD	Avenue Fontaine Argent angle rue Beauregard	False	False	11	7.0	4.0	OPEN	1650455261000.0	besancon	16	JCDeceaux	47.244985	6.032536	251.0	FR82002	1.170028784579953
amiens	16	2022-06-02T17:57:22	2022-06-02T20:01	8	16 - PLACE FRANKLIN	Rue Engel Dollfus dans le prolongement de la rue de la Filature	False	False	11	6.0	5.0	OPEN	1650455492000.0	mulhouse	16	JCDeceaux	47.751456	7.33392	241.0	FR16069	1.2060925295380955
amiens	16	2022-06-02T17:57:22	2022-06-02T20:01	8	00016 - PORTE DE LA CRAFFE (CB)	Angle rue du Haut Bourgeois et place des Bourgets	True	False	20	14.0	6.0	OPEN	1650455524000.0	nancy	16	JCDeceaux	48.6984724451821	6.17798553705909	201.0	FR30036	0.1549440190236547
amiens	16	2022-06-02T17:57:22	2022-06-02T20:01	8	016-ÉDOUARD NORMAND	Face au 7, place Edouard Normand	False	False	15	8.0	7.0	OPEN	1650455389000.0	nantes	16	JCDeceaux	47.2190275447384	-1.56341948405375	35.0	FR23251	1.663672213656623
amiens	16	2022-06-02T17:57:22	2022-06-02T20:01	8	16-ILE LACROIX	AVENUE JACQUES CHASTELLAIN - PARKING DE LA PATINOIRE	True	False	20	13.0	7.0	OPEN	1650455188000.0	rouen	16	JCDeceaux	49.431521256315975	1.102925918082832	10.0	FR25053	0.6518088928677405
amiens	16	2022-06-02T17:57:22	2022-06-02T20:01	8	00016 - STRASBOURG - BAYARD	32 BD DE STRASBOURG	True	False	21	13.0	8.0	OPEN	1650455657000.0	toulouse	16	JCDeceaux	43.6079376302758	1.44661077054709	151.0	FR12009	0.802517573128535
amiens	16	2022-06-02T17:57:22	2022-06-02T20:01	8	016 Antigone centre				16					montpellier	16	En regie	43.607942	3.890634	25.0	FR08030	0.8626708427855186
amiens	15	2022-06-02T17:58:19	2022-06-02T20:01	9	15- JACOBINS	Rue des Jacobins	True	False	20	6.0	14.0	OPEN	1650455393000.0	amiens	15	JCDeceaux	49.8909435451942	2.300843419403305	39.0	FR18053	1.2537941851820906
amiens	15	2022-06-02T17:58:19	2022-06-02T20:01	9	15 - GRAND REX	Av de Colmar angle Rue Engel Dollfus	False	False	15	8.0	7.0	OPEN	1650455223000.0	mulhouse	15	JCDeceaux	47.75243313452126	7.337387363569732	240.0	FR16057	1.0482947342358948
amiens	15	2022-06-02T17:58:19	2022-06-02T20:01	9	00015 - PORT STE CATHERINE	Angle rue Henri BAZIN et quai Sainte-Catherine	False	False	16	12.0	4.0	OPEN	1650455576000.0	nancy	15	JCDeceaux	48.6954870039528	6.1906794896667	196.0	FR30032	0.0920637658983935
amiens	15	2022-06-02T17:58:19	2022-06-02T20:01	9	015-ARISTIDE BRIAND	Place Aristide Briand	False	False	17	9.0	7.0	OPEN	1650455429000.0	nantes	15	JCDeceaux	47.2171848232902	-1.56298679328837	31.0	FR23251	1.4657412488455193
amiens	15	2022-06-02T17:58:19	2022-06-02T20:01	9	15-GARE	RUE JEANNE D'ARC ANGLE RUE DE LA ROCHEFOUCAULD	True	False	25	11.0	14.0	OPEN	1650455589000.0	rouen	15	JCDeceaux	49.448285193967465	1.09419956401142	35.0	FR25036	0.6595865239576568
amiens	15	2022-06-02T17:58:19	2022-06-02T20:01	9	00015 - PONT MONTAUDRAN	FACE AU 5 PORT SAINT-SAUVEUR	True	False	20	20.0	0.0	OPEN	1650455488000.0	toulouse	15	JCDeceaux	43.59642	1.4565	158.0	FR12008	1.531675158057571
amiens	15	2022-06-02T17:58:19	2022-06-02T20:01	9	015 Les Aubes				8					montpellier	15	En regie	43.618692	3.893844	23.0	FR08030	1.132513340918971
amiens	14	2022-06-02T17:54:45	2022-06-02T20:01	14	14- GARE CINEMA	Passage Alphonse Fiquet	True	False	20	13.0	7.0	OPEN	1650455670000.0	amiens	14	JCDeceaux	49.89028092622952	2.307375584272146	35.0	FR18053	1.297891666868956
amiens	14	2022-06-02T17:54:45	2022-06-02T20:01	14	14 - JACOBINS	Place Jacobins	False	False	10	6.0	4.0	OPEN	1650455717000.0	besancon	14	JCDeceaux	47.234525	6.033161	258.0	FR82002	0.409589266973822
amiens	14	2022-06-02T17:54:45	2022-06-02T20:01	14	14 - SCHUMANN	Av Robert Schuman angle Rue de Stalingrad	False	False	18	8.0	10.0	OPEN	1650455388000.0	mulhouse	14	JCDeceaux	47.75243	7.342944	237.0	FR16057	0.6794321865746119
amiens	14	2022-06-02T17:54:45	2022-06-02T20:01	14	00014 - FAC DE LETTRES (CB)	Place Godefroy de Bouillon	True	False	19	18.0	1.0	OPEN	1650455499000.0	nancy	14	JCDeceaux	48.6928180794454	6.16860978784457	221.0	FR30031	0.0313272172033146
amiens	14	2022-06-02T17:54:45	2022-06-02T20:01	14	014-SAINT FÉLIX	35, Boulevard Amiral Courbet	False	False	14	7.0	7.0	OPEN	1650455529000.0	nantes	14	JCDeceaux	47.230334	-1.556133	24.0	FR23188	2.2360354529660853
amiens	14	2022-06-02T17:54:45	2022-06-02T20:01	14	14- BALZAC - BOULEVARD DE L' EUROPE	BOULEVARD DE L' EUROPE	True	False	25	9.0	16.0	OPEN	1650455675000.0	rouen	14	JCDeceaux	49.42582345143276	1.087912810909562	13.0	FR25053	1.4580070111643173
amiens	14	2022-06-02T17:54:45	2022-06-02T20:01	14	00014 - PERIGORD	26 RUE DE PERIGORD	True	False	17	6.0	11.0	OPEN	1650455688000.0	toulouse	14	JCDeceaux	43.60735205357881	1.444269620551324	154.0	FR12009	0.561608085757664
amiens	14	2022-06-02T17:54:45	2022-06-02T20:01	14	014 Beaux-Arts				8					montpellier	14	En regie	43.616698	3.884981	25.0	FR08030	1.6331383913645752
amiens	19	2022-06-02T17:55:04	2022-06-02T20:01	7	19- REPUBLIQUE	République Gambetta	True	False	20	10.0	10.0	OPEN	1650455610000.0	amiens	19	JCDeceaux	49.892720073260215	2.297075819641891	35.0	FR18053	1.263729844231123
amiens	19	2022-06-02T17:55:04	2022-06-02T20:01	7	19 - BEAUX-ARTS	Angle de la rue Gustave Courbet et rue Pierre Joseph Proudhon	False	False	10	3.0	7.0	OPEN	1650455475000.0	besancon	19	JCDeceaux	47.240827	6.02527	246.0	FR82001	0.569620509829909
